kode,username,status,judul,penulis,rating,jml hlm,genre,sinopsis
A37,@syifaqolbiyah,Queue,Make Time,"Jake Knapp, John Zeratsky",4.09,297,"nonfiksi, psikologi, self help","Kita semua mengalami kesulitan meluangkan waktu untuk hal-hal yang sangat penting. Setiap hari kita memulai dengan niat terbaik—tapi kemudian waktu kita ditelan habis oleh rapat beruntun, rantai pesan dan e-mail yang tak pernah berhenti, dan update yang tak pernah berakhir di media sosial. Terkadang letih dan terdistraksi sudah menjadi ""keadaan normal"" kita. Tetapi, bagaimana jika kita bisa melangkah keluar dari roda putar hamster itu dan mulai memegang kendali atas waktu dan perhatian kita? Sebagai pencipta Design Sprint-nya Google Ventures, Jake Knapp dan John Zeratsky telah menolong ratusan tim menyelesaikan masalah-masalah penting dengan mendesain ulang jam kerja mereka. Berdasarkan pelajaran-pelajaran dari Design Sprint ini, mereka menghabiskan bertahun-tahun untuk bereksperimen dengan kebiasaan dan rutinitas mereka sendiri. Mencari cara untuk mengoptimalkan energi, fokus, dan waktu. Sekarang, mereka telah berhasil mewujudkan taktik-taktik paling efektif ke dalam kerangka kerja harian yang terdiri dari empat langkah—Sorotan, Laser, Energi, Renungan—yang bisa digunakan oleh setiap orang untuk mendesain jadwal harian secara sistematis. Make Time bukanlah soal produktivitas atau mencontreng lebih banyak daftar tugas. Buku ini juga tidak mengusulkan solusi yang tak realistis, misalnya membuang smortphone atau menyumpahi media sosial. Buku Make Time menawarkan menu 87 poin taktik yang bisa kamu selaraskan sendiri, antara lain: • Daftar Hal-Hal yang Mungkin Bisa Dilakukan • Tidak Memudahkan Diri Sendiri • Jangan Cek Handphone Sewaktu Bangun Pagi • Jadikan Piringmu Seperti Alun-alun • Mengunci Diri di Luar • dan masih banyak lagi Bacaan wajib bagi setiap orang yang pernah menginginkan lebih dari 24 jam dalam sehari. Buku ini akan membantumu mendesain hidup di seputar hal-hal yang penting bagimu. Kamu bisa ""memiliki"" hidupmu sendiri, detik demi detik, dari hari ke hari."
A38,@akuituyaakutau,Borrowed,Malice,Keigo Higashino,4.04,288,"fiksi, misteri, thriller, detektif, j-lit","Novelis laris Hidaka Kunihiko ditemukan tewas di rumahnya pada malam sebelum ia meninggalkan Jepang untuk pindah ke Kanada. Tubuhnya ditemukan di ruang kerjanya yang terkunci di rumahnya yang juga terkunci oleh istri dan sahabatnya. Keduanya punya alibi kuat. Mungkin. Detektif Kaga Kyoichiro yang menyelidiki kasus pembunuhan tersebut menemukan bahwa hubungan Hidaka dengan sang sahabat, Nonoguchi Osamu, tidak seperti yang diceritakan oleh Nonoguchi. Tapi pertanyaan yang paling mengusik Kaga bukanlah siapa atau bagaimana, melainkan kenapa. Dari situlah sang detektif dan sang pembunuh bertarung membeberkan kebenaran tentang masa lalu dan masa kini versi masing-masing. Dan jika Kaga gagal menguak motif sang pembunuh yang sebenarnya, kebenaran takkan terungkap seutuhnya. Malice merupakan novel dari seri Detektif Kaga karya Keigo Higashino yang paling laris dan paling banyak dipuji."
A38,@diclofenack,Queue,Malice,Keigo Higashino,4.04,288,"fiksi, misteri, thriller, detektif, j-lit","Novelis laris Hidaka Kunihiko ditemukan tewas di rumahnya pada malam sebelum ia meninggalkan Jepang untuk pindah ke Kanada. Tubuhnya ditemukan di ruang kerjanya yang terkunci di rumahnya yang juga terkunci oleh istri dan sahabatnya. Keduanya punya alibi kuat. Mungkin. Detektif Kaga Kyoichiro yang menyelidiki kasus pembunuhan tersebut menemukan bahwa hubungan Hidaka dengan sang sahabat, Nonoguchi Osamu, tidak seperti yang diceritakan oleh Nonoguchi. Tapi pertanyaan yang paling mengusik Kaga bukanlah siapa atau bagaimana, melainkan kenapa. Dari situlah sang detektif dan sang pembunuh bertarung membeberkan kebenaran tentang masa lalu dan masa kini versi masing-masing. Dan jika Kaga gagal menguak motif sang pembunuh yang sebenarnya, kebenaran takkan terungkap seutuhnya. Malice merupakan novel dari seri Detektif Kaga karya Keigo Higashino yang paling laris dan paling banyak dipuji."
A38,@hecticbookish,Borrowed,Malice,Keigo Higashino,4.04,288,"fiksi, misteri, thriller, detektif, j-lit","Novelis laris Hidaka Kunihiko ditemukan tewas di rumahnya pada malam sebelum ia meninggalkan Jepang untuk pindah ke Kanada. Tubuhnya ditemukan di ruang kerjanya yang terkunci di rumahnya yang juga terkunci oleh istri dan sahabatnya. Keduanya punya alibi kuat. Mungkin. Detektif Kaga Kyoichiro yang menyelidiki kasus pembunuhan tersebut menemukan bahwa hubungan Hidaka dengan sang sahabat, Nonoguchi Osamu, tidak seperti yang diceritakan oleh Nonoguchi. Tapi pertanyaan yang paling mengusik Kaga bukanlah siapa atau bagaimana, melainkan kenapa. Dari situlah sang detektif dan sang pembunuh bertarung membeberkan kebenaran tentang masa lalu dan masa kini versi masing-masing. Dan jika Kaga gagal menguak motif sang pembunuh yang sebenarnya, kebenaran takkan terungkap seutuhnya. Malice merupakan novel dari seri Detektif Kaga karya Keigo Higashino yang paling laris dan paling banyak dipuji."
A38,@hujandanjuni,Queue,Malice,Keigo Higashino,4.04,288,"fiksi, misteri, thriller, detektif, j-lit","Novelis laris Hidaka Kunihiko ditemukan tewas di rumahnya pada malam sebelum ia meninggalkan Jepang untuk pindah ke Kanada. Tubuhnya ditemukan di ruang kerjanya yang terkunci di rumahnya yang juga terkunci oleh istri dan sahabatnya. Keduanya punya alibi kuat. Mungkin. Detektif Kaga Kyoichiro yang menyelidiki kasus pembunuhan tersebut menemukan bahwa hubungan Hidaka dengan sang sahabat, Nonoguchi Osamu, tidak seperti yang diceritakan oleh Nonoguchi. Tapi pertanyaan yang paling mengusik Kaga bukanlah siapa atau bagaimana, melainkan kenapa. Dari situlah sang detektif dan sang pembunuh bertarung membeberkan kebenaran tentang masa lalu dan masa kini versi masing-masing. Dan jika Kaga gagal menguak motif sang pembunuh yang sebenarnya, kebenaran takkan terungkap seutuhnya. Malice merupakan novel dari seri Detektif Kaga karya Keigo Higashino yang paling laris dan paling banyak dipuji."
A38,@leechanitb,Borrowed,Malice,Keigo Higashino,4.04,288,"fiksi, misteri, thriller, detektif, j-lit","Novelis laris Hidaka Kunihiko ditemukan tewas di rumahnya pada malam sebelum ia meninggalkan Jepang untuk pindah ke Kanada. Tubuhnya ditemukan di ruang kerjanya yang terkunci di rumahnya yang juga terkunci oleh istri dan sahabatnya. Keduanya punya alibi kuat. Mungkin. Detektif Kaga Kyoichiro yang menyelidiki kasus pembunuhan tersebut menemukan bahwa hubungan Hidaka dengan sang sahabat, Nonoguchi Osamu, tidak seperti yang diceritakan oleh Nonoguchi. Tapi pertanyaan yang paling mengusik Kaga bukanlah siapa atau bagaimana, melainkan kenapa. Dari situlah sang detektif dan sang pembunuh bertarung membeberkan kebenaran tentang masa lalu dan masa kini versi masing-masing. Dan jika Kaga gagal menguak motif sang pembunuh yang sebenarnya, kebenaran takkan terungkap seutuhnya. Malice merupakan novel dari seri Detektif Kaga karya Keigo Higashino yang paling laris dan paling banyak dipuji."
A38,@micelll4,Queue,Malice,Keigo Higashino,4.04,288,"fiksi, misteri, thriller, detektif, j-lit","Novelis laris Hidaka Kunihiko ditemukan tewas di rumahnya pada malam sebelum ia meninggalkan Jepang untuk pindah ke Kanada. Tubuhnya ditemukan di ruang kerjanya yang terkunci di rumahnya yang juga terkunci oleh istri dan sahabatnya. Keduanya punya alibi kuat. Mungkin. Detektif Kaga Kyoichiro yang menyelidiki kasus pembunuhan tersebut menemukan bahwa hubungan Hidaka dengan sang sahabat, Nonoguchi Osamu, tidak seperti yang diceritakan oleh Nonoguchi. Tapi pertanyaan yang paling mengusik Kaga bukanlah siapa atau bagaimana, melainkan kenapa. Dari situlah sang detektif dan sang pembunuh bertarung membeberkan kebenaran tentang masa lalu dan masa kini versi masing-masing. Dan jika Kaga gagal menguak motif sang pembunuh yang sebenarnya, kebenaran takkan terungkap seutuhnya. Malice merupakan novel dari seri Detektif Kaga karya Keigo Higashino yang paling laris dan paling banyak dipuji."
A38,@pratistaputri,Borrowed,Malice,Keigo Higashino,4.04,288,"fiksi, misteri, thriller, detektif, j-lit","Novelis laris Hidaka Kunihiko ditemukan tewas di rumahnya pada malam sebelum ia meninggalkan Jepang untuk pindah ke Kanada. Tubuhnya ditemukan di ruang kerjanya yang terkunci di rumahnya yang juga terkunci oleh istri dan sahabatnya. Keduanya punya alibi kuat. Mungkin. Detektif Kaga Kyoichiro yang menyelidiki kasus pembunuhan tersebut menemukan bahwa hubungan Hidaka dengan sang sahabat, Nonoguchi Osamu, tidak seperti yang diceritakan oleh Nonoguchi. Tapi pertanyaan yang paling mengusik Kaga bukanlah siapa atau bagaimana, melainkan kenapa. Dari situlah sang detektif dan sang pembunuh bertarung membeberkan kebenaran tentang masa lalu dan masa kini versi masing-masing. Dan jika Kaga gagal menguak motif sang pembunuh yang sebenarnya, kebenaran takkan terungkap seutuhnya. Malice merupakan novel dari seri Detektif Kaga karya Keigo Higashino yang paling laris dan paling banyak dipuji."
A38,@rkivee18,Borrowing,Malice,Keigo Higashino,4.04,288,"fiksi, misteri, thriller, detektif, j-lit","Novelis laris Hidaka Kunihiko ditemukan tewas di rumahnya pada malam sebelum ia meninggalkan Jepang untuk pindah ke Kanada. Tubuhnya ditemukan di ruang kerjanya yang terkunci di rumahnya yang juga terkunci oleh istri dan sahabatnya. Keduanya punya alibi kuat. Mungkin. Detektif Kaga Kyoichiro yang menyelidiki kasus pembunuhan tersebut menemukan bahwa hubungan Hidaka dengan sang sahabat, Nonoguchi Osamu, tidak seperti yang diceritakan oleh Nonoguchi. Tapi pertanyaan yang paling mengusik Kaga bukanlah siapa atau bagaimana, melainkan kenapa. Dari situlah sang detektif dan sang pembunuh bertarung membeberkan kebenaran tentang masa lalu dan masa kini versi masing-masing. Dan jika Kaga gagal menguak motif sang pembunuh yang sebenarnya, kebenaran takkan terungkap seutuhnya. Malice merupakan novel dari seri Detektif Kaga karya Keigo Higashino yang paling laris dan paling banyak dipuji."
A38,@somuchyoun,Borrowed,Malice,Keigo Higashino,4.04,288,"fiksi, misteri, thriller, detektif, j-lit","Novelis laris Hidaka Kunihiko ditemukan tewas di rumahnya pada malam sebelum ia meninggalkan Jepang untuk pindah ke Kanada. Tubuhnya ditemukan di ruang kerjanya yang terkunci di rumahnya yang juga terkunci oleh istri dan sahabatnya. Keduanya punya alibi kuat. Mungkin. Detektif Kaga Kyoichiro yang menyelidiki kasus pembunuhan tersebut menemukan bahwa hubungan Hidaka dengan sang sahabat, Nonoguchi Osamu, tidak seperti yang diceritakan oleh Nonoguchi. Tapi pertanyaan yang paling mengusik Kaga bukanlah siapa atau bagaimana, melainkan kenapa. Dari situlah sang detektif dan sang pembunuh bertarung membeberkan kebenaran tentang masa lalu dan masa kini versi masing-masing. Dan jika Kaga gagal menguak motif sang pembunuh yang sebenarnya, kebenaran takkan terungkap seutuhnya. Malice merupakan novel dari seri Detektif Kaga karya Keigo Higashino yang paling laris dan paling banyak dipuji."
A38,@summer_annya,Borrowed,Malice,Keigo Higashino,4.04,288,"fiksi, misteri, thriller, detektif, j-lit","Novelis laris Hidaka Kunihiko ditemukan tewas di rumahnya pada malam sebelum ia meninggalkan Jepang untuk pindah ke Kanada. Tubuhnya ditemukan di ruang kerjanya yang terkunci di rumahnya yang juga terkunci oleh istri dan sahabatnya. Keduanya punya alibi kuat. Mungkin. Detektif Kaga Kyoichiro yang menyelidiki kasus pembunuhan tersebut menemukan bahwa hubungan Hidaka dengan sang sahabat, Nonoguchi Osamu, tidak seperti yang diceritakan oleh Nonoguchi. Tapi pertanyaan yang paling mengusik Kaga bukanlah siapa atau bagaimana, melainkan kenapa. Dari situlah sang detektif dan sang pembunuh bertarung membeberkan kebenaran tentang masa lalu dan masa kini versi masing-masing. Dan jika Kaga gagal menguak motif sang pembunuh yang sebenarnya, kebenaran takkan terungkap seutuhnya. Malice merupakan novel dari seri Detektif Kaga karya Keigo Higashino yang paling laris dan paling banyak dipuji."
A39,@anxiechic,Borrowed,Mimi Lemon,Cyntha Hariadi,4.23,247,"fiksi, cerpen","Bagi banyak orang, hidup bisa demikian panjang. Saat satu kegembiraan bukanlah sebuah akhir. Akan ada rasa sedih, sakit, kehilangan dan perasaan terhampas yang menyusul. Rasa sedih itu juga bukan akhir, kebahagiaan kemudian akan tiba, setidaknya itu yang kita upayakan. Dan di anataranya, di saat-saat yang paling gelap, kita mencoba menggapai sesuatu untuk menjadi pegangan, yang kita dekap erat-erat hingga nanti, saat cahaya akhirnya tiba. Karakter-karakter dalam delapan cerita Cyntha Hariadi juga mencoba menemukannya--pegangan itu--yang membuat hidup yang berat bisa tertanggungkan. Mereka berpegangan pada kenangan yang indah, bersandar pada rasa marah, pada harapan yang polos, atau pada kemungkinan tak terbatas dari hidup yang sama sekali baru. Bagaimana mereka bertahan? Bagaimana mereka menjalani hari-harinya? Hari-hari yang masih akan terus berjalan untuk waktu yang lama."
A39,@ariputri,Borrowed,Mimi Lemon,Cyntha Hariadi,4.23,247,"fiksi, cerpen","Bagi banyak orang, hidup bisa demikian panjang. Saat satu kegembiraan bukanlah sebuah akhir. Akan ada rasa sedih, sakit, kehilangan dan perasaan terhampas yang menyusul. Rasa sedih itu juga bukan akhir, kebahagiaan kemudian akan tiba, setidaknya itu yang kita upayakan. Dan di anataranya, di saat-saat yang paling gelap, kita mencoba menggapai sesuatu untuk menjadi pegangan, yang kita dekap erat-erat hingga nanti, saat cahaya akhirnya tiba. Karakter-karakter dalam delapan cerita Cyntha Hariadi juga mencoba menemukannya--pegangan itu--yang membuat hidup yang berat bisa tertanggungkan. Mereka berpegangan pada kenangan yang indah, bersandar pada rasa marah, pada harapan yang polos, atau pada kemungkinan tak terbatas dari hidup yang sama sekali baru. Bagaimana mereka bertahan? Bagaimana mereka menjalani hari-harinya? Hari-hari yang masih akan terus berjalan untuk waktu yang lama."
A39,@catchingyoo_,Borrowed,Mimi Lemon,Cyntha Hariadi,4.23,247,"fiksi, cerpen","Bagi banyak orang, hidup bisa demikian panjang. Saat satu kegembiraan bukanlah sebuah akhir. Akan ada rasa sedih, sakit, kehilangan dan perasaan terhampas yang menyusul. Rasa sedih itu juga bukan akhir, kebahagiaan kemudian akan tiba, setidaknya itu yang kita upayakan. Dan di anataranya, di saat-saat yang paling gelap, kita mencoba menggapai sesuatu untuk menjadi pegangan, yang kita dekap erat-erat hingga nanti, saat cahaya akhirnya tiba. Karakter-karakter dalam delapan cerita Cyntha Hariadi juga mencoba menemukannya--pegangan itu--yang membuat hidup yang berat bisa tertanggungkan. Mereka berpegangan pada kenangan yang indah, bersandar pada rasa marah, pada harapan yang polos, atau pada kemungkinan tak terbatas dari hidup yang sama sekali baru. Bagaimana mereka bertahan? Bagaimana mereka menjalani hari-harinya? Hari-hari yang masih akan terus berjalan untuk waktu yang lama."
A39,@destinugrainy,Borrowed,Mimi Lemon,Cyntha Hariadi,4.23,247,"fiksi, cerpen","Bagi banyak orang, hidup bisa demikian panjang. Saat satu kegembiraan bukanlah sebuah akhir. Akan ada rasa sedih, sakit, kehilangan dan perasaan terhampas yang menyusul. Rasa sedih itu juga bukan akhir, kebahagiaan kemudian akan tiba, setidaknya itu yang kita upayakan. Dan di anataranya, di saat-saat yang paling gelap, kita mencoba menggapai sesuatu untuk menjadi pegangan, yang kita dekap erat-erat hingga nanti, saat cahaya akhirnya tiba. Karakter-karakter dalam delapan cerita Cyntha Hariadi juga mencoba menemukannya--pegangan itu--yang membuat hidup yang berat bisa tertanggungkan. Mereka berpegangan pada kenangan yang indah, bersandar pada rasa marah, pada harapan yang polos, atau pada kemungkinan tak terbatas dari hidup yang sama sekali baru. Bagaimana mereka bertahan? Bagaimana mereka menjalani hari-harinya? Hari-hari yang masih akan terus berjalan untuk waktu yang lama."
A39,@dianning_sari,Borrowed,Mimi Lemon,Cyntha Hariadi,4.23,247,"fiksi, cerpen","Bagi banyak orang, hidup bisa demikian panjang. Saat satu kegembiraan bukanlah sebuah akhir. Akan ada rasa sedih, sakit, kehilangan dan perasaan terhampas yang menyusul. Rasa sedih itu juga bukan akhir, kebahagiaan kemudian akan tiba, setidaknya itu yang kita upayakan. Dan di anataranya, di saat-saat yang paling gelap, kita mencoba menggapai sesuatu untuk menjadi pegangan, yang kita dekap erat-erat hingga nanti, saat cahaya akhirnya tiba. Karakter-karakter dalam delapan cerita Cyntha Hariadi juga mencoba menemukannya--pegangan itu--yang membuat hidup yang berat bisa tertanggungkan. Mereka berpegangan pada kenangan yang indah, bersandar pada rasa marah, pada harapan yang polos, atau pada kemungkinan tak terbatas dari hidup yang sama sekali baru. Bagaimana mereka bertahan? Bagaimana mereka menjalani hari-harinya? Hari-hari yang masih akan terus berjalan untuk waktu yang lama."
A39,@eveshelf,Borrowing,Mimi Lemon,Cyntha Hariadi,4.23,247,"fiksi, cerpen","Bagi banyak orang, hidup bisa demikian panjang. Saat satu kegembiraan bukanlah sebuah akhir. Akan ada rasa sedih, sakit, kehilangan dan perasaan terhampas yang menyusul. Rasa sedih itu juga bukan akhir, kebahagiaan kemudian akan tiba, setidaknya itu yang kita upayakan. Dan di anataranya, di saat-saat yang paling gelap, kita mencoba menggapai sesuatu untuk menjadi pegangan, yang kita dekap erat-erat hingga nanti, saat cahaya akhirnya tiba. Karakter-karakter dalam delapan cerita Cyntha Hariadi juga mencoba menemukannya--pegangan itu--yang membuat hidup yang berat bisa tertanggungkan. Mereka berpegangan pada kenangan yang indah, bersandar pada rasa marah, pada harapan yang polos, atau pada kemungkinan tak terbatas dari hidup yang sama sekali baru. Bagaimana mereka bertahan? Bagaimana mereka menjalani hari-harinya? Hari-hari yang masih akan terus berjalan untuk waktu yang lama."
A39,@fatmajanna,Queue,Mimi Lemon,Cyntha Hariadi,4.23,247,"fiksi, cerpen","Bagi banyak orang, hidup bisa demikian panjang. Saat satu kegembiraan bukanlah sebuah akhir. Akan ada rasa sedih, sakit, kehilangan dan perasaan terhampas yang menyusul. Rasa sedih itu juga bukan akhir, kebahagiaan kemudian akan tiba, setidaknya itu yang kita upayakan. Dan di anataranya, di saat-saat yang paling gelap, kita mencoba menggapai sesuatu untuk menjadi pegangan, yang kita dekap erat-erat hingga nanti, saat cahaya akhirnya tiba. Karakter-karakter dalam delapan cerita Cyntha Hariadi juga mencoba menemukannya--pegangan itu--yang membuat hidup yang berat bisa tertanggungkan. Mereka berpegangan pada kenangan yang indah, bersandar pada rasa marah, pada harapan yang polos, atau pada kemungkinan tak terbatas dari hidup yang sama sekali baru. Bagaimana mereka bertahan? Bagaimana mereka menjalani hari-harinya? Hari-hari yang masih akan terus berjalan untuk waktu yang lama."
A39,@gofygoober_,Borrowed,Mimi Lemon,Cyntha Hariadi,4.23,247,"fiksi, cerpen","Bagi banyak orang, hidup bisa demikian panjang. Saat satu kegembiraan bukanlah sebuah akhir. Akan ada rasa sedih, sakit, kehilangan dan perasaan terhampas yang menyusul. Rasa sedih itu juga bukan akhir, kebahagiaan kemudian akan tiba, setidaknya itu yang kita upayakan. Dan di anataranya, di saat-saat yang paling gelap, kita mencoba menggapai sesuatu untuk menjadi pegangan, yang kita dekap erat-erat hingga nanti, saat cahaya akhirnya tiba. Karakter-karakter dalam delapan cerita Cyntha Hariadi juga mencoba menemukannya--pegangan itu--yang membuat hidup yang berat bisa tertanggungkan. Mereka berpegangan pada kenangan yang indah, bersandar pada rasa marah, pada harapan yang polos, atau pada kemungkinan tak terbatas dari hidup yang sama sekali baru. Bagaimana mereka bertahan? Bagaimana mereka menjalani hari-harinya? Hari-hari yang masih akan terus berjalan untuk waktu yang lama."
A39,@k_pida,Queue,Mimi Lemon,Cyntha Hariadi,4.23,247,"fiksi, cerpen","Bagi banyak orang, hidup bisa demikian panjang. Saat satu kegembiraan bukanlah sebuah akhir. Akan ada rasa sedih, sakit, kehilangan dan perasaan terhampas yang menyusul. Rasa sedih itu juga bukan akhir, kebahagiaan kemudian akan tiba, setidaknya itu yang kita upayakan. Dan di anataranya, di saat-saat yang paling gelap, kita mencoba menggapai sesuatu untuk menjadi pegangan, yang kita dekap erat-erat hingga nanti, saat cahaya akhirnya tiba. Karakter-karakter dalam delapan cerita Cyntha Hariadi juga mencoba menemukannya--pegangan itu--yang membuat hidup yang berat bisa tertanggungkan. Mereka berpegangan pada kenangan yang indah, bersandar pada rasa marah, pada harapan yang polos, atau pada kemungkinan tak terbatas dari hidup yang sama sekali baru. Bagaimana mereka bertahan? Bagaimana mereka menjalani hari-harinya? Hari-hari yang masih akan terus berjalan untuk waktu yang lama."
A39,@msstrasr,Borrowed,Mimi Lemon,Cyntha Hariadi,4.23,247,"fiksi, cerpen","Bagi banyak orang, hidup bisa demikian panjang. Saat satu kegembiraan bukanlah sebuah akhir. Akan ada rasa sedih, sakit, kehilangan dan perasaan terhampas yang menyusul. Rasa sedih itu juga bukan akhir, kebahagiaan kemudian akan tiba, setidaknya itu yang kita upayakan. Dan di anataranya, di saat-saat yang paling gelap, kita mencoba menggapai sesuatu untuk menjadi pegangan, yang kita dekap erat-erat hingga nanti, saat cahaya akhirnya tiba. Karakter-karakter dalam delapan cerita Cyntha Hariadi juga mencoba menemukannya--pegangan itu--yang membuat hidup yang berat bisa tertanggungkan. Mereka berpegangan pada kenangan yang indah, bersandar pada rasa marah, pada harapan yang polos, atau pada kemungkinan tak terbatas dari hidup yang sama sekali baru. Bagaimana mereka bertahan? Bagaimana mereka menjalani hari-harinya? Hari-hari yang masih akan terus berjalan untuk waktu yang lama."
A39,@uthinkisp,Queue,Mimi Lemon,Cyntha Hariadi,4.23,247,"fiksi, cerpen","Bagi banyak orang, hidup bisa demikian panjang. Saat satu kegembiraan bukanlah sebuah akhir. Akan ada rasa sedih, sakit, kehilangan dan perasaan terhampas yang menyusul. Rasa sedih itu juga bukan akhir, kebahagiaan kemudian akan tiba, setidaknya itu yang kita upayakan. Dan di anataranya, di saat-saat yang paling gelap, kita mencoba menggapai sesuatu untuk menjadi pegangan, yang kita dekap erat-erat hingga nanti, saat cahaya akhirnya tiba. Karakter-karakter dalam delapan cerita Cyntha Hariadi juga mencoba menemukannya--pegangan itu--yang membuat hidup yang berat bisa tertanggungkan. Mereka berpegangan pada kenangan yang indah, bersandar pada rasa marah, pada harapan yang polos, atau pada kemungkinan tak terbatas dari hidup yang sama sekali baru. Bagaimana mereka bertahan? Bagaimana mereka menjalani hari-harinya? Hari-hari yang masih akan terus berjalan untuk waktu yang lama."
A39,@wwatermelloww,Queue,Mimi Lemon,Cyntha Hariadi,4.23,247,"fiksi, cerpen","Bagi banyak orang, hidup bisa demikian panjang. Saat satu kegembiraan bukanlah sebuah akhir. Akan ada rasa sedih, sakit, kehilangan dan perasaan terhampas yang menyusul. Rasa sedih itu juga bukan akhir, kebahagiaan kemudian akan tiba, setidaknya itu yang kita upayakan. Dan di anataranya, di saat-saat yang paling gelap, kita mencoba menggapai sesuatu untuk menjadi pegangan, yang kita dekap erat-erat hingga nanti, saat cahaya akhirnya tiba. Karakter-karakter dalam delapan cerita Cyntha Hariadi juga mencoba menemukannya--pegangan itu--yang membuat hidup yang berat bisa tertanggungkan. Mereka berpegangan pada kenangan yang indah, bersandar pada rasa marah, pada harapan yang polos, atau pada kemungkinan tak terbatas dari hidup yang sama sekali baru. Bagaimana mereka bertahan? Bagaimana mereka menjalani hari-harinya? Hari-hari yang masih akan terus berjalan untuk waktu yang lama."
A40,@bukanapasapa,Borrowed,Monster Kepala Seribu,Laura Santullo,3.93,148,"fiksi, thriller","Seorang istri berjuang memohon kepada perusahaan asuransi agar mengabulkan prosedur medis yang dibutuhkan oleh suaminya yang sakit keras. Ketika semua jalan yang sah secara hukum tertutup, ia tidak punya pilihan lain... Sebuah novel mendebarkan yang telah diangkat ke layar lebar. menguak praktik kotor bisnis asuransi kesahalan."
A40,@destinugrainy,Borrowed,Monster Kepala Seribu,Laura Santullo,3.93,148,"fiksi, thriller","Seorang istri berjuang memohon kepada perusahaan asuransi agar mengabulkan prosedur medis yang dibutuhkan oleh suaminya yang sakit keras. Ketika semua jalan yang sah secara hukum tertutup, ia tidak punya pilihan lain... Sebuah novel mendebarkan yang telah diangkat ke layar lebar. menguak praktik kotor bisnis asuransi kesahalan."
A40,@elimirnaw,Borrowing,Monster Kepala Seribu,Laura Santullo,3.93,148,"fiksi, thriller","Seorang istri berjuang memohon kepada perusahaan asuransi agar mengabulkan prosedur medis yang dibutuhkan oleh suaminya yang sakit keras. Ketika semua jalan yang sah secara hukum tertutup, ia tidak punya pilihan lain... Sebuah novel mendebarkan yang telah diangkat ke layar lebar. menguak praktik kotor bisnis asuransi kesahalan."
A40,@eveshelf,Borrowed,Monster Kepala Seribu,Laura Santullo,3.93,148,"fiksi, thriller","Seorang istri berjuang memohon kepada perusahaan asuransi agar mengabulkan prosedur medis yang dibutuhkan oleh suaminya yang sakit keras. Ketika semua jalan yang sah secara hukum tertutup, ia tidak punya pilihan lain... Sebuah novel mendebarkan yang telah diangkat ke layar lebar. menguak praktik kotor bisnis asuransi kesahalan."
A40,@gofygoober_,Borrowed,Monster Kepala Seribu,Laura Santullo,3.93,148,"fiksi, thriller","Seorang istri berjuang memohon kepada perusahaan asuransi agar mengabulkan prosedur medis yang dibutuhkan oleh suaminya yang sakit keras. Ketika semua jalan yang sah secara hukum tertutup, ia tidak punya pilihan lain... Sebuah novel mendebarkan yang telah diangkat ke layar lebar. menguak praktik kotor bisnis asuransi kesahalan."
A41,@adelisread,Queue,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
A41,@destinugrainy,Borrowed,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
A41,@dualapanjunii,Borrowed,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
A41,@elimirnaw,Borrowed,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
A41,@fayaulia27,Queue,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
A41,@gofygoober_,Queue,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
A41,@huichilnyem,Borrowed,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
A41,@icedmocca123,Queue,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
A41,@kuntibogellina,Queue,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
A41,@littlerabbit_14,Borrowed,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
A41,@roawstar,Borrowed,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
A41,@shabrinafzh,Borrowed,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
A41,@tomatrare_,Queue,Motherhood,Minato Kanae,3.84,346,"fiksi, misteri, thriller, j-lit",Apa artinya menjadi ibu jika tidak memiliki sifat keibuan?
